127.0.0.1 - - [12/Feb/2025:09:07:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:07:49 +0900] "GET /client/ex17_table.html HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:07:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:08:01 +0900] "GET /client/ex17_table.html HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:10:11 +0900] "GET /client/ex17_table.html HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:10:52 +0900] "GET /client/ex17_table.html HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:19:37 +0900] "GET /client/ex17_table.html HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:24:06 +0900] "GET /client/ex16_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:25:47 +0900] "GET /client/ex16_table.html HTTP/1.1" 200 6121
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:25:48 +0900] "GET /client/ex16_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:25:53 +0900] "GET /client/ex16_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:26:24 +0900] "GET /client/ex16_table.html HTTP/1.1" 200 6121
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:28:40 +0900] "GET /client/ex16_table.html HTTP/1.1" 200 5981
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:32:06 +0900] "GET /client/ex17_table.html HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:33:44 +0900] "GET /client/ex17_table.html HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:34:38 +0900] "GET /client/ex17_table.html HTTP/1.1" 200 1837
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:36:34 +0900] "GET /client/ex17_table.html HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:36:43 +0900] "GET /client/ex17_table.html HTTP/1.1" 200 2264
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:38:00 +0900] "GET /client/ex17_table.html HTTP/1.1" 200 2402
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:41:42 +0900] "GET /client/ex17_table.html HTTP/1.1" 200 2818
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:43:46 +0900] "GET /client/ex17_table.html HTTP/1.1" 200 2901
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:45:52 +0900] "GET /client/ex17_table.html HTTP/1.1" 200 3437
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:45:56 +0900] "GET /client/ex17_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:45:56 +0900] "GET /client/ex17_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:45:57 +0900] "GET /client/ex17_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:45:57 +0900] "GET /client/ex17_table.html HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:45:57 +0900] "GET /client/ex17_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:45:58 +0900] "GET /client/ex17_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:45:58 +0900] "GET /client/ex17_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2025:09:49:55 +0900] "GET /client/ex17_table.html HTTP/1.1" 200 3636
0:0:0:0:0:0:0:1 - - [12/Feb/2025:10:09:33 +0900] "GET /client/ex18_form.html HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [12/Feb/2025:10:09:44 +0900] "GET /client/ex18_form.html?age=sddd HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [12/Feb/2025:10:09:46 +0900] "GET /client/ex18_form.html?age=ddd HTTP/1.1" 200 922
